序号,姓名,性别,生日,年龄,班级,籍贯,民族
1,张明,男,2007-08-15,18,软件工程1班,山东青岛,汉
2,李华,女,2007-09-20,17,软件工程1班,江苏南京,汉
3,王芳,女,2007-07-03,18,软件工程1班,浙江杭州,汉
4,刘强,男,2007-06-12,18,软件工程1班,河南郑州,汉
5,陈静,女,2007-10-25,17,软件工程1班,广东深圳,汉
6,杨帆,男,2007-05-08,18,软件工程1班,北京海淀,汉
7,赵丽,女,2007-04-18,18,软件工程1班,四川成都,汉
8,黄磊,男,2007-11-30,17,软件工程1班,湖北武汉,汉
9,周婷,女,2007-03-22,18,软件工程1班,陕西西安,回
10,吴军,男,2007-12-05,17,软件工程1班,安徽合肥,汉
11,徐娜,女,2007-02-14,18,软件工程1班,湖南长沙,汉
12,孙浩,男,2007-09-09,17,软件工程1班,福建福州,汉
13,马超,男,2007-08-28,18,软件工程1班,辽宁沈阳,满
14,朱琳,女,2007-01-17,18,软件工程1班,山西太原,汉
15,胡杰,男,2007-07-19,18,软件工程1班,江西南昌,汉
16,郭颖,女,2007-10-04,17,软件工程1班,云南昆明,汉
17,何鹏,男,2007-06-26,18,软件工程1班,广西南宁,壮
18,高洁,女,2007-11-11,17,软件工程1班,河北石家庄,汉
19,林峰,男,2007-04-09,18,软件工程1班,内蒙古呼和浩特,蒙古
20,罗敏,女,2007-12-22,17,软件工程1班,新疆乌鲁木齐,维吾尔
21,梁伟,男,2007-03-15,18,软件工程1班,黑龙江哈尔滨,汉
22,宋佳,女,2007-05-30,18,软件工程1班,吉林长春,汉
23,郑浩,男,2007-08-07,17,软件工程1班,贵州贵阳,汉
24,韩雪,女,2007-09-16,18,软件工程1班,甘肃兰州,汉
25,唐磊,男,2007-02-28,18,软件工程1班,青海西宁,汉
26,冯丽,女,2007-10-13,17,软件工程1班,海南海口,汉
27,邓超,男,2007-07-25,18,软件工程1班,宁夏银川,回
28,曹颖,女,2007-04-03,18,软件工程1班,西藏拉萨,藏
29,彭飞,男,2007-06-15,17,软件工程1班,天津滨海,汉
30,蒋娜,女,2007-11-28,18,软件工程1班,上海浦东,汉
31,沈君,男,2007-03-08,18,软件工程1班,重庆渝北,汉
32,韦华,女,2007-08-19,17,软件工程1班,山东济南,汉
33,许强,男,2007-12-31,17,软件工程1班,山东烟台,汉
34,傅玲,女,2007-05-21,18,软件工程1班,江苏苏州,汉
35,吕鹏,男,2007-01-09,18,软件工程1班,浙江宁波,汉
36,苏婷,女,2007-09-02,17,软件工程1班,广东广州,汉
37,卢健,男,2007-07-14,18,软件工程1班,四川绵阳,汉
38,蒋雯,女,2007-10-17,17,软件工程1班,湖北宜昌,汉
39,姚磊,男,2007-04-26,18,软件工程1班,湖南株洲,汉
40,钱琳,女,2007-06-07,18,软件工程1班,河南洛阳,汉
41,谭明,男,2007-11-24,17,软件工程2班,山东青岛,汉
42,廖娜,女,2007-02-19,18,软件工程2班,江苏徐州,汉
43,邹浩,男,2007-08-10,18,软件工程2班,浙江温州,汉
44,熊洁,女,2007-03-30,17,软件工程2班,广东佛山,汉
45,金鹏,男,2007-12-12,17,软件工程2班,北京朝阳,汉
46,陆敏,女,2007-05-05,18,软件工程2班,四川南充,汉
47,郝强,男,2007-07-28,18,软件工程2班,陕西宝鸡,汉
48,白杨,女,2007-09-19,17,软件工程2班,安徽芜湖,汉
49,崔浩,男,2007-04-15,18,软件工程2班,辽宁大连,汉
50,康颖,女,2007-11-02,17,软件工程2班,湖北襄阳,汉
51,毛军,男,2007-06-23,18,软件工程2班,湖南衡阳,汉
52,邱丽,女,2007-01-26,18,软件工程2班,江西赣州,汉
53,秦风,男,2007-10-09,17,软件工程2班,广西桂林,汉
54,江山,女,2007-08-04,18,软件工程2班,云南大理,白
55,史峰,男,2007-02-11,18,软件工程2班,福建厦门,汉
56,顾婷,女,2007-12-18,17,软件工程2班,河南开封,汉
57,侯亮,男,2007-05-13,18,软件工程2班,山东潍坊,汉
58,邵敏,女,2007-07-06,18,软件工程2班,河北唐山,汉
59,孟伟,男,2007-03-25,17,软件工程2班,山西大同,汉
60,万玲,女,2007-09-29,18,软件工程2班,内蒙古包头,蒙古
61,段磊,男,2007-11-15,17,软件工程2班,江苏无锡,汉
62,雷洁,女,2007-04-21,18,软件工程2班,浙江嘉兴,汉
63,龙鹏,男,2007-06-10,18,软件工程2班,广东东莞,汉
64,孔娜,女,2007-08-31,17,软件工程2班,四川德阳,汉
65,俞浩,男,2007-10-26,18,软件工程2班,陕西咸阳,汉
66,袁琳,女,2007-01-04,18,软件工程2班,安徽蚌埠,汉
67,宋杰,男,2007-12-09,17,软件工程2班,辽宁鞍山,汉
68,唐颖,女,2007-03-17,18,软件工程2班,湖北黄石,汉
69,韩磊,男,2007-07-22,18,软件工程2班,湖南岳阳,汉
70,冯超,女,2007-05-29,17,软件工程2班,江西上饶,汉
71,邓鹏,男,2007-09-12,18,数据科学1班,山东青岛,汉
72,蒋静,女,2007-02-06,18,数据科学1班,江苏常州,汉
73,贺明,男,2007-11-20,17,数据科学1班,浙江绍兴,汉
74,倪洁,女,2007-06-03,18,数据科学1班,广东中山,汉
75,滕磊,男,2007-08-25,17,数据科学1班,北京西城,汉
76,尹娜,女,2007-04-11,18,数据科学1班,四川乐山,汉
77,罗强,男,2007-10-30,17,数据科学1班,陕西渭南,汉
78,毕琳,女,2007-07-17,18,数据科学1班,安徽黄山,汉
79,郝军,男,2007-12-24,17,数据科学1班,辽宁抚顺,满
80,邬洁,女,2007-03-02,18,数据科学1班,湖南湘潭,汉
