序号,姓名,性别,班级,生源省份,政治面貌,年龄,生日,民族
1,王浩然,男,计算机1班,山东,共青团员,18,2005-03-12,汉族
2,李静怡,女,计算机2班,江苏,预备党员,19,2004-07-21,汉族
3,张伟,男,计算机3班,山东,党员,18,2005-01-05,汉族
4,刘雨欣,女,计算机4班,浙江,共青团员,18,2005-09-18,汉族
5,陈志强,男,软件工程1班,山东,群众,17,2006-05-30,汉族
6,赵雅婷,女,软件工程2班,广东,共青团员,18,2005-11-11,汉族
7,周明,男,软件工程3班,山东,预备党员,18,2005-02-28,汉族
8,吴思琪,女,软件工程4班,四川,共青团员,19,2004-08-15,汉族
9,郑浩然,男,软件工程5班,山东,党员,18,2005-04-22,汉族
10,孙梦瑶,女,软件工程6班,河南,共青团员,18,2005-10-07,汉族
11,林志强,男,软件工程7班,山东,群众,20,2003-12-03,汉族
12,黄诗雨,女,软件工程8班,福建,共青团员,18,2005-06-19,汉族
13,徐明,男,智科1班,山东,预备党员,18,2005-07-25,汉族
14,朱雅婷,女,智科2班,湖南,共青团员,18,2005-09-01,汉族
15,马浩然,男,人工智能1班,山东,党员,17,2006-02-14,汉族
16,高思琪,女,人工智能2班,湖北,共青团员,18,2005-08-08,汉族
17,谢志强,男,计算机1班,山东,群众,18,2005-03-30,汉族
18,冯雨欣,女,计算机2班,陕西,共青团员,19,2004-11-22,汉族
19,董明,男,计算机3班,山东,预备党员,18,2005-05-17,汉族
20,曹雅婷,女,计算机4班,山西,共青团员,18,2005-10-31,汉族
21,许文博,男,计算机1班,山东,共青团员,18,2005-04-05,汉族
22,唐静雯,女,计算机2班,河北,党员,18,2005-01-19,汉族
23,郭子豪,男,计算机3班,山东,群众,19,2004-09-26,汉族
24,韩佳怡,女,计算机4班,辽宁,共青团员,18,2005-07-14,汉族
25,邓浩然,男,软件工程1班,山东,预备党员,18,2005-02-09,汉族
26,于梦洁,女,软件工程2班,吉林,共青团员,18,2005-11-28,汉族
27,江宇轩,男,软件工程3班,山东,党员,17,2006-04-16,汉族
28,沈思颖,女,软件工程4班,黑龙江,共青团员,18,2005-08-23,汉族
29,蒋宇航,男,软件工程5班,山东,群众,18,2005-05-11,汉族
30,蔡雯婧,女,软件工程6班,安徽,共青团员,19,2004-10-30,汉族
31,贾云鹏,男,软件工程7班,山东,预备党员,18,2005-03-07,汉族
32,丁玉婷,女,软件工程8班,江西,共青团员,18,2005-09-22,汉族
33,魏晨旭,男,智科1班,山东,党员,18,2005-01-25,汉族
34,潘欣怡,女,智科2班,重庆,共青团员,17,2006-06-09,汉族
35,田博文,男,人工智能1班,山东,群众,18,2005-07-03,汉族
36,杜雨薇,女,人工智能2班,云南,共青团员,18,2005-12-15,汉族
37,范家豪,男,计算机1班,山东,预备党员,19,2004-11-08,汉族
38,黎若曦,女,计算机2班,贵州,共青团员,18,2005-04-28,汉族
39,石昊天,男,计算机3班,山东,党员,18,2005-02-16,汉族
40,顾婉清,女,计算机4班,广西,共青团员,18,2005-10-12,汉族
41,孟祥瑞,男,软件工程1班,山东,群众,17,2006-03-24,汉族
42,龚晓萱,女,软件工程2班,甘肃,共青团员,18,2005-08-05,汉族
43,熊子涵,男,软件工程3班,山东,预备党员,18,2005-05-29,汉族
44,侯诗雨,女,软件工程4班,内蒙古,共青团员,19,2004-12-20,汉族
45,秦浩宇,男,软件工程5班,山东,党员,18,2005-01-14,汉族
46,薛雅文,女,软件工程6班,宁夏,共青团员,18,2005-09-07,汉族
47,陆明杰,男,软件工程7班,山东,群众,18,2005-06-26,汉族
48,尹思萌,女,软件工程8班,青海,共青团员,18,2005-11-03,汉族
49,段家旭,男,智科1班,山东,预备党员,20,2003-10-17,汉族
50,白若兰,女,智科2班,新疆,共青团员,18,2005-07-19,汉族
51,邱文博,男,人工智能1班,山东,党员,18,2005-03-02,汉族
